parameter	estimate	SE	P
r_pgc_comp	0.4007711352	0.0245858118	9.7231668e-60
r_pgc_int	0.4014982844	0.0219811519	1.5557773e-74
r_pgc_sud	0.3883122251	0.0225448016	1.7535803e-66
r_fg_comp	0.2699225983	0.0616949411	1.2136725e-05
r_fg_int	0.1849445402	0.0443685114	3.0678055e-05
r_fg_sud	0.1156890976	0.0532829972	2.9914563e-02
d_comp	-0.1308485370	0.0638525231	4.0439582e-02
d_int	-0.2165537442	0.0508154275	2.0299141e-05
d_sud	-0.2726231276	0.0570787648	1.7858381e-06
