section	comparison	measure	estimate	se	ci95_low	ci95_high	p_two_sided	q_bh	notes
profile_component	EXMORE minus narrow FinnGen	ASD_delta_rg	0.119146182116957	0.0633206036557361	-0.00496220104828574	0.2432545652822	0.059885766503308	NA	Per-auxiliary paired profile component; global profile tests reported above
profile_component	EXMORE minus narrow FinnGen	OCD_2025_delta_rg	0.112434390144384	0.0551963577915862	0.00424952887287505	0.220619251415893	0.0416511144150161	NA	Per-auxiliary paired profile component; global profile tests reported above
profile_component	EXMORE minus narrow FinnGen	AN_delta_rg	0.117983879443434	0.0530220610321991	0.0140606398203238	0.221907119066544	0.0260688409332639	NA	Per-auxiliary paired profile component; global profile tests reported above
profile_component	EXMORE minus narrow FinnGen	AUD_delta_rg	0.194771711270673	0.0495343868690092	0.097684313007415	0.291859109533931	8.42243620830727e-05	NA	Per-auxiliary paired profile component; global profile tests reported above
profile_component	EXMORE minus narrow FinnGen	CUD_2023_EUR_delta_rg	0.195430117879599	0.0494848537957344	0.0984398044399596	0.292420431319238	7.83828157470218e-05	NA	Per-auxiliary paired profile component; global profile tests reported above
category_DID	EXMORE minus PGC	mood_psychotic_delta_pp	1.62359903843399	5.42747681595481	-9.01425552083743	12.2614535977054	0.764829906292552	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus PGC	internalizing_delta_pp	0.0306443007822165	1.36526766843951	-2.64528032935923	2.70656893092366	0.982092477447684	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus PGC	neurodevelopmental_delta_pp	-0.345613800393281	1.98416207439863	-4.23457146621459	3.54334386542803	0.86171907174862	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus PGC	compulsive_eating_delta_pp	0.623113158127777	1.91384476974951	-3.12802259058125	4.37424890683681	0.744740731414943	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus PGC	substance_delta_pp	-1.73631644633724	1.95879137308181	-5.57554753757758	2.10291464490311	0.375389981543465	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus narrow FinnGen	mood_psychotic_delta_pp	10.2558505151575	4.95307840358497	0.547816844130929	19.963884186184	0.0383960718383776	0.383960718383776	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus narrow FinnGen	internalizing_delta_pp	0.368169443363412	1.37079407754174	-2.3185869486184	3.05492583534523	0.788252023171239	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus narrow FinnGen	neurodevelopmental_delta_pp	-0.1999302000459	2.21868771334691	-4.54855811820585	4.14869771811405	0.92819828043679	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus narrow FinnGen	compulsive_eating_delta_pp	1.33995147534725	2.11533404404794	-2.80610325098672	5.48600620168122	0.526441944158526	0.982092477447684	BH family contains 10 EXMORE category comparisons
category_DID	EXMORE minus narrow FinnGen	substance_delta_pp	1.22902499635692	1.45418428695704	-1.62117620607888	4.07922619879273	0.398018976778002	0.982092477447684	BH family contains 10 EXMORE category comparisons
quality_control	SCZ_FINNGEN_R13_EXMORE	matrix_condition_number	62.000022644906	NA	NA	NA	NA	NA	PASS; analysis maximum=1000
quality_control	SCZ_FINNGEN_R13_EXMORE	max_target_aux_rg_squared	0.484087461923547	NA	NA	NA	NA	NA	PASS; analysis maximum is strictly below 0.5
