analysis	row_type	predictor	PGC_estimate	FinnGen_estimate	delta_FinnGen_minus_PGC	paired_SE	CI95_low	CI95_high	z	P	q_BH	min_delete_one_delta	max_delete_one_delta	max_abs_deletion_deviation	max_influence_block	direction_reversals_200	full_min_eigenvalue	full_condition_number	full_max_VIF	min_block_eigenvalue	max_block_condition_number	max_block_VIF	non_positive_definite_blocks	inadmissible_R2_blocks	notes
primary_six	conditional_coefficient	BD_PGC2021	0.584230086282459	0.503383187693213	-0.0808468985892461	0.0717146588303129	-0.221405047060237	0.0597112498817446	-1.12734132613726	0.259598196025044	0.778794588075132	-0.101238893813501	-0.0644664426696887	0.020391995224255	182	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of six coefficient contrasts
primary_six	conditional_coefficient	MDD_CLIN_PGC2025	0.0521194326312901	0.108511933046403	0.0563925004151132	0.202640983684357	-0.340776529397996	0.453561530228222	0.278287735234017	0.780791490282098	0.780791490282098	0.0211018716426794	0.123262571342425	0.0668700709273117	182	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of six coefficient contrasts
primary_six	conditional_coefficient	ADHD	-0.0187894139173529	-0.149245713937333	-0.13045630001998	0.105644914564109	-0.337516527715444	0.0766039276754837	-1.23485641081962	0.216883948499986	0.778794588075132	-0.149001006674091	-0.0984633773419201	0.0319929226780603	57	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of six coefficient contrasts
primary_six	conditional_coefficient	OCD_2025	0.146901711903887	0.110131462238527	-0.0367702496653596	0.0912459377109642	-0.215609001314434	0.142068501983715	-0.402979580108378	0.686963246520984	0.780791490282098	-0.0544760247934675	-0.0156974773962209	0.0210727722691386	92	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of six coefficient contrasts
primary_six	conditional_coefficient	PTSD	-0.0661420997406323	-0.153784245550448	-0.0876421458098161	0.206110566013994	-0.491611432030409	0.316327140410777	-0.425219082673645	0.670676974469929	0.780791490282098	-0.14222662479674	-0.0570593005443845	0.054584478986924	155	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of six coefficient contrasts
primary_six	conditional_coefficient	AUD	0.14563176500653	0.0969689282794033	-0.0486628367271263	0.0848394572299283	-0.214945117365712	0.117619443911459	-0.573587317929703	0.566247095709959	0.780791490282098	-0.0671122020402202	-0.0347629722601047	0.0184493653130939	124	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of six coefficient contrasts
primary_six	joint_Rg2	ALL_SIX	0.497488038103383	0.317344929672017	-0.180143108431366	0.0625676907069333	-0.302773528812797	-0.0575126880499358	-2.8791714444945	0.00398721513350106	NA	-0.191617826691057	-0.165521731448171	0.0146213769831958	65	0	0.18351621641397	17.9781639291083	3.83663416827727	0.177366800831374	18.7343497243821	3.96217816936127	0	0	Single joint test; PGC uses corrected N_eff = 2 x NEFF
sensitivity_all_ten	conditional_coefficient	MDD_CLIN_PGC2025	-0.0269352253333366	0.0864317892864763	0.113367014619813	0.302484501459295	-0.479491714121959	0.706225743361585	0.37478619259132	0.707819483776125	0.969960348453454	0.0578375743966095	0.19850887830729	0.0851418636874767	182	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of 10 coefficient contrasts
sensitivity_all_ten	conditional_coefficient	BD_PGC2021	0.552777214165881	0.486112417006855	-0.0666647971590251	0.0758940362800167	-0.215414374909234	0.0820847805911838	-0.878393091560717	0.379730432156138	0.969960348453454	-0.0937836152797215	-0.0524720053933035	0.0271188181206964	182	0	NA	NA	NA	NA	NA	NA	NA	NA	BH family of 10 coefficient contrasts
sensitivity_all_ten	conditional_coefficient	PTSD	-0.0937053541870727	-0.0838550657036934	0.00985028848337921	0.261572138449825	-0.502821682237402	0.522522259204161	0.037658018708551	0.969960348453454	0.969960348453454	-0.072772513717338	0.0623975325460766	0.0826228022007172	155	54	NA	NA	NA	NA	NA	NA	NA	NA	BH family of 10 coefficient contrasts
