comparison_type	section	disease	left_trait	right_trait	rg	rg_se	left_h2	left_h2_se	right_h2	right_h2_se	left_source_url	right_source_identifier	right_source_url	intercept_gencov	intercept_gencov_se	intercept_left_h2	intercept_left_h2_se	intercept_right_h2	intercept_right_h2_se	intercept_constrained	overlap_status	archive_status	notes	ldsc_version	intercept_command_mode	log_file	run_status
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	ADHD	0.4987	0.0482	0.1497	0.016	0.164	0.0073	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	PGC ADHD 2023 European release; Figshare file 40036684	NA	-0.0069	0.0066	1.0579	0.0093	1.0266	0.0098	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__ADHD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	AN	0.324	0.0669	0.1497	0.016	0.2494	0.0166	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	Watson et al. 2019 anorexia nervosa European summary statistics	NA	-0.0014	0.0071	1.0499	0.0098	1.0213	0.0113	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__AN.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	ANX	0.6062	0.0421	0.1497	0.016	0.0776	0.0028	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	PGC anxiety meta-analysis excluding UTAH; Figshare article 31389910, file 62089324; doi:10.6084/m9.figshare.31389910.v1	NA	0.0518	0.0058	1.057	0.0087	1.0453	0.0093	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__ANX.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	ASD	0.3698	0.0757	0.1497	0.016	0.2035	0.0178	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	Grove et al. 2019 ASD European summary statistics	NA	-0.0009	0.0069	1.0598	0.0093	1.0085	0.0099	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__ASD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	AUD	0.441	0.0406	0.1497	0.016	0.085	0.0035	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	Nature Medicine 2023 European AUD meta-analysis; AUD_EUR_Aug2023.txt.gz	NA	0.061	0.0048	1.058	0.0086	1.0462	0.0069	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__AUD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	CUD_2023_EUR	0.5556	0.0527	0.1497	0.016	0.0874	0.0045	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	2023 European CUD meta-analysis	NA	-0.0099	0.0047	1.058	0.0086	0.9904	0.0078	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__CUD_2023_EUR.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	MDD_CLIN_PGC2025	0.7255	0.0815	0.1497	0.016	0.095	0.0096	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	PGC MDD2025 clinical/interview European summary statistics	https://figshare.com/articles/dataset/GWAS_summary_statistics_for_major_depression_PGC_MDD2025_/27061255	0.0031	0.0062	1.0594	0.0094	1.0136	0.0076	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__MDD_CLIN_PGC2025.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	OCD_2025	0.4199	0.0618	0.1497	0.016	0.3164	0.0203	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	2025 OCD GWAS, non-23andMe leave-UKB-out file	NA	0.0222	0.0051	1.0592	0.0088	1.0242	0.0069	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__OCD_2025.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	PTSD	0.6933	0.0464	0.1497	0.016	0.0543	0.0023	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	PGC PTSD Freeze 3 European case-control; Figshare article 26349322, file 52065146; doi:10.6084/m9.figshare.26349322.v3	NA	0.0392	0.0063	1.0558	0.0088	1.036	0.0099	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__PTSD.log	log_parsed
target_auxiliary	psychiatric_target_auxiliary	NA	BD_FINNGEN_R13	SCZ_PGC2022	0.5045	0.0469	0.1497	0.016	0.3876	0.0136	https://r13.risteys.finngen.fi/endpoints/F5_BIPO	PGC schizophrenia wave 3 European summary statistics	https://figshare.com/articles/dataset/scz2022/19426775/7	0.0094	0.0076	1.0592	0.009	1.0786	0.0161	FALSE	participant_overlap_unknown_or_unreported	archived_ldsc_log	target-auxiliary overlap was not resolved from the available public source records; LDSC command mode recorded as freely estimated	1.0.1	freely_estimated_default	BD_FINNGEN_R13__SCZ_PGC2022.log	log_parsed
