model	comparison	predictor	phi_left	phi_right	delta_phi_left_minus_right	paired_jackknife_SE	CI95_low	CI95_high	z	P	min_delete_one_delta	max_delete_one_delta	direction_reversals_200	BH_q_within_comparison_model
primary_six	narrow_minus_PGC	BD_PGC2021	0.21947233253377	0.312038323312817	-0.0925659907790474	0.0510831170637221	-0.192687060441986	0.00755507888389149	-1.81206621873874	0.0699759653216513	-0.101335972595814	-0.0796391345090165	0	0.139951930643303
primary_six	narrow_minus_PGC	MDD_CLIN_PGC2025	0.0258396715238833	0.0452289454232857	-0.0193892738994024	0.02613248268221	-0.0706079987831505	0.0318294509843458	-0.741960652387685	0.458111175870987	-0.0234774099797463	-0.0116799871224381	0	0.549733411045185
primary_six	narrow_minus_PGC	ADHD	0.0163505729908474	0.00843714258969546	0.00791343040115195	0.0142620015246725	-0.0200395789346615	0.0358664397369654	0.554861138351593	0.578989644855537	0.00488513850724452	0.0109144854322875	0	0.578989644855537
primary_six	narrow_minus_PGC	OCD_2025	0.0299514688021921	0.0553917555740681	-0.0254402867718759	0.0225091082475749	-0.0695573282612361	0.0186767547174843	-1.13022188582779	0.258382739924929	-0.0290957677517825	-0.0198708197382997	0	0.387574109887393
primary_six	narrow_minus_PGC	PTSD	0.0118353679090096	0.0332521063218953	-0.0214167384128857	0.00867300648218226	-0.0384155187556453	-0.00441795807012601	-2.46935574842288	0.0135356579363337	-0.0227798629926041	-0.0188113178184325	0	0.0812139476180025
primary_six	narrow_minus_PGC	AUD	0.0138955159123147	0.0431397648816218	-0.0292442489693071	0.0146838602489689	-0.0580240862113054	-0.000464411727308673	-1.99159134406503	0.0464159138788426	-0.0337683314082948	-0.0267752692881814	0	0.139247741636528
primary_six	broad_minus_PGC	BD_PGC2021	0.296896297436351	0.312038323312817	-0.0151420258764658	0.0420600152680182	-0.0975781409909862	0.0672940892380545	-0.360009994765257	0.718839659280009	-0.022662234326312	-0.00570490913392774	0	0.862607591136011
primary_six	broad_minus_PGC	MDD_CLIN_PGC2025	0.129051894515297	0.0452289454232857	0.0838229490920116	0.052896710622522	-0.0198526986287687	0.187498596812792	1.58465333865812	0.113045118999705	0.0740683156911052	0.0945246314588162	0	0.226090237999411
primary_six	broad_minus_PGC	ADHD	0.0131297452186206	0.00843714258969546	0.00469260262892513	0.00259309243123049	-0.000389765144870029	0.0097749704027203	1.80965497890038	0.0703493082944462	0.00404651543949019	0.00528203591074526	0	0.226090237999411
primary_six	broad_minus_PGC	OCD_2025	0.0391741256998959	0.0553917555740681	-0.0162176298741722	0.0171073169294951	-0.049747354928095	0.0173120951797505	-0.947993770210163	0.343132625692711	-0.0192424648727214	-0.0130606255073389	0	0.514698938539067
primary_six	broad_minus_PGC	PTSD	0.0488437260580156	0.0332521063218953	0.0155916197361203	0.0093945316457916	-0.00282132394125302	0.0340045634134937	1.6596484342149	0.096985198624836	0.0139924403392535	0.0172165002322889	0	0.226090237999411
primary_six	broad_minus_PGC	AUD	0.0437268741140087	0.0431397648816218	0.000587109232386931	0.0183696583670142	-0.0354167595752657	0.0365909780400396	0.0319608138952211	0.974503300902122	-0.00303704271079687	0.00463822955582273	59	0.974503300902122
