model	comparison	R2_left	R2_right	delta_R2_left_minus_right	paired_jackknife_SE	CI95_low	CI95_high	z	P	min_delete_one_delta	max_delete_one_delta	direction_reversals_200	BH_q_within_model
primary_six	narrow_minus_PGC	0.317344929672017	0.497488038103383	-0.180143108431366	0.0625676907069333	-0.302773528812797	-0.0575126880499358	-2.8791714444945	0.00398721513350106	-0.191617826691057	-0.165521731448171	0	0.0059808227002516
primary_six	broad_minus_PGC	0.570822663042189	0.497488038103383	0.0733346249388059	0.0734722540046329	-0.0706683467732532	0.217337596650865	0.998126788572211	0.318217881571306	0.0617170782923716	0.088312541012794	0	0.318217881571306
primary_six	broad_minus_narrow	0.570822663042189	0.317344929672017	0.253477733370172	0.0764595538804673	0.103619761490457	0.403335705249888	3.31518718728657	0.000915817764354429	0.232126898369727	0.266931228484037	0	0.00274745329306329
sensitivity_all_ten	narrow_minus_PGC	0.338208762368297	0.528353542568201	-0.190144780199905	0.0696116354897763	-0.326581078664797	-0.053708481735013	-2.73150858850071	0.00630450977596361	-0.20220618758589	-0.174254900458657	0	0.00945676466394541
sensitivity_all_ten	broad_minus_PGC	0.603503243143185	0.528353542568201	0.0751497005749833	0.0785440157938464	-0.0787937415821008	0.229093142732067	0.956784547052291	0.338676013501352	0.063075123726879	0.0948075374682722	0	0.338676013501352
sensitivity_all_ten	broad_minus_narrow	0.603503243143185	0.338208762368297	0.265294480774888	0.0795431678477403	0.109392736577093	0.421196224972683	3.33522649340178	0.000852299494524205	0.245514451946101	0.279280548523134	0	0.00255689848357261
