comparison	disease	domain	auxiliaries	n_aux	left_phbc	right_phbc	delta_pp	paired_jackknife_se_pp	ci95_low_pp	ci95_high_pp	z	p_two_sided	method	q_bh_26	survives_bh_0_05
MDD_EHR_minus_CLIN	MDD	mood_psychotic	BD_PGC2021,SCZ_PGC2022	2	0.219408760851834	0.22802872493668	-0.861996408484669	3.72291585924702	-8.15891149260883	6.43491867563949	-0.231537977508579	0.81689688508439	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.852603586114793	FALSE
MDD_EHR_minus_CLIN	MDD	neurodevelopmental	ADHD,ASD	2	0.377270077446008	0.267021041433517	11.0249036012491	5.06100978512057	1.10532442241282	20.9444827800855	2.17839997734493	0.0293762715806128	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.0545559329354238	FALSE
MDD_EHR_minus_CLIN	MDD	compulsive_eating	OCD_2025,AN	2	0.249329348410408	0.232219782219105	1.71095661913036	5.83186356907419	-9.71949597625505	13.1414092145158	0.293380769091273	0.769231123112979	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.852603586114793	FALSE
MDD_EHR_minus_CLIN	MDD	substance	AUD,CUD_2023_EUR	2	0.305110913269666	0.172045096290341	13.3065816979325	3.7045878925555	6.04558942852367	20.5675739673412	3.59191955593023	0.000328251185599029	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.000853453082557476	TRUE
MDD_FINNGEN_minus_CLIN	MDD	mood_psychotic	BD_PGC2021,SCZ_PGC2022	2	0.272092131851022	0.22802872493668	4.4063406914342	3.92278429831226	-3.28231653325783	12.0949979161262	1.12326866744368	0.261323406730914	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.357600451315988	FALSE
MDD_FINNGEN_minus_CLIN	MDD	neurodevelopmental	ADHD,ASD	2	0.250958957237091	0.267021041433517	-1.60620841964258	5.23813951962687	-11.8729618781113	8.66054503882609	-0.306637196971224	0.759119537598738	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.852603586114793	FALSE
MDD_FINNGEN_minus_CLIN	MDD	compulsive_eating	OCD_2025,AN	2	0.244080621525064	0.232219782219105	1.18608393059597	6.22515137040036	-11.0152127553887	13.3873806165807	0.190530938128768	0.848893102076059	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.852603586114793	FALSE
MDD_FINNGEN_minus_CLIN	MDD	substance	AUD,CUD_2023_EUR	2	0.25845950971463	0.172045096290341	8.64144134242888	4.15686952994443	0.493977063737791	16.78890562112	2.07883391099465	0.0376326188534097	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.0652298726792435	FALSE
MDD_QUEST_minus_CLIN	MDD	mood_psychotic	BD_PGC2021,SCZ_PGC2022	2	0.164788920295786	0.22802872493668	-6.32398046408943	3.86010455754081	-13.8897853968694	1.24182446869057	-1.63829253063505	0.101360685083894	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.164711113261327	FALSE
MDD_QUEST_minus_CLIN	MDD	neurodevelopmental	ADHD,ASD	2	0.221753318314181	0.267021041433517	-4.52677231193357	5.00673107542169	-14.3399652197601	5.28642059589294	-0.904137299116332	0.365922602517147	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.465773005491451	FALSE
MDD_QUEST_minus_CLIN	MDD	compulsive_eating	OCD_2025,AN	2	0.179988581090099	0.232219782219105	-5.22312011290059	5.90238264977596	-16.7917901064615	6.3455498806603	-0.884917231365683	0.376201273666172	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.465773005491451	FALSE
MDD_QUEST_minus_CLIN	MDD	substance	AUD,CUD_2023_EUR	2	0.164831449790173	0.172045096290341	-0.721364650016879	3.88253207932089	-8.33112752548582	6.88839822545207	-0.185797473215741	0.852603586114793	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.852603586114793	FALSE
MDD_EHR_minus_QUEST	MDD	mood_psychotic	BD_PGC2021,SCZ_PGC2022	2	0.219408760851834	0.164788920295786	5.46198405560476	2.16889710511512	1.21094572957913	9.71302238163039	2.51832327256246	0.0117915041055842	domain-restricted sensitivity; 200-block paired delete-one-block jackknife	0.0255482588954324	TRUE
