comparison	omitted_auxiliary	disease	condition	n_remaining	left_phbc_pp	right_phbc_pp	delta_pp	paired_jackknife_se_pp	ci95_low_pp	ci95_high_pp	z	p_two_sided	deviation_from_full_delta_pp	direction_matches_full	left_corrected_weight	right_corrected_weight	n_block	sample_rep	q_bh_26
MDD_EHR_minus_QUEST		MDD	full_panel	8	56.7723619348182	39.6582947139112	17.1140672209069	3.7742326047643	9.7165713155689	24.5115631262449	4.53444951943435	5.7753912226268e-06	0	TRUE	0.96875	0.96875	200	1000	
MDD_EHR_minus_QUEST	ADHD	MDD	leave_one_auxiliary_out	7	48.8261719889288	36.6250095334448	12.201162455484	3.74733197918342	4.85639177628453	19.5459331346835	3.25595984643527	0.00113009732299751	-4.9129047654229	TRUE	0.96875	0.96875	200	1000	0.00146912651989677
MDD_EHR_minus_QUEST	AN	MDD	leave_one_auxiliary_out	7	58.555225356959	39.4455166334703	19.1097087234887	3.8162589198334	11.6298412406153	26.5895762063622	5.00744554416214	5.51571494455669e-07	1.99564150258182	TRUE	0.984375	0.96875	200	1000	1.79260735698093e-06
MDD_EHR_minus_QUEST	ASD	MDD	leave_one_auxiliary_out	7	58.6064997426006	38.4607609002132	20.1457388423874	3.6383625500295	13.0145482443296	27.2769294404452	5.5370344668439	3.07636028656951e-08	3.03167162148047	TRUE	0.984375	0.96875	200	1000	1.99963418627018e-07
MDD_EHR_minus_QUEST	AUD	MDD	leave_one_auxiliary_out	7	56.7085149420955	36.8552762873553	19.8532386547402	3.55807126681017	12.8794189717923	26.8270583376881	5.5797754361842	2.40829304176641e-08	2.73917143383328	TRUE	0.984375	0.96875	200	1000	1.99963418627018e-07
MDD_EHR_minus_QUEST	BD_PGC2021	MDD	leave_one_auxiliary_out	7	53.499114107776	34.6513349732452	18.8477791345308	3.62486278741032	11.7430480712065	25.952510197855	5.19958416081069	1.99734874453714e-07	1.73371191362384	TRUE	0.96875	0.96875	200	1000	8.65517789299429e-07
MDD_EHR_minus_QUEST	CUD_2023_EUR	MDD	leave_one_auxiliary_out	7	58.5714549387267	39.2140919917147	19.357362947012	3.68687680546966	12.1310844082915	26.5836414857325	5.25034167626497	1.51817343108125e-07	2.24329572610508	TRUE	0.984375	0.96875	200	1000	7.89450184162252e-07
MDD_EHR_minus_QUEST	OCD_2025	MDD	leave_one_auxiliary_out	7	54.17407209035	38.2612833344758	15.9127887558742	3.80848717685706	8.44815388923432	23.377423622514	4.17824401577903	2.93768385051624e-05	-1.20127846503277	TRUE	0.96875	0.96875	200	1000	4.49292824196602e-05
MDD_EHR_minus_QUEST	SCZ_PGC2022	MDD	leave_one_auxiliary_out	7	56.5794374740782	38.0843354180877	18.4951020559905	3.62901779314394	11.3822271814284	25.6079769305527	5.09644843597407	3.4608477264305e-07	1.3810348350836	TRUE	0.96875	0.96875	200	1000	1.2854577269599e-06
MDD_FINNGEN_minus_QUEST		MDD	full_panel	8	51.8262509428056	39.6582947139112	12.1679562288944	4.21087271704842	3.91464570347946	20.4212667543093	2.88965187183891	0.00385668663601542	0	TRUE	0.96875	0.96875	200	1000	
MDD_FINNGEN_minus_QUEST	ADHD	MDD	leave_one_auxiliary_out	7	49.3649481346776	36.6250095334448	12.7399386012327	4.26649681029792	4.37760485304882	21.1022723494167	2.98604198425339	0.00282613839564251	0.571982372338376	TRUE	0.96875	0.96875	200	1000	0.00331868584098795
MDD_FINNGEN_minus_QUEST	AN	MDD	leave_one_auxiliary_out	7	51.4590669819062	39.4455166334703	12.0135503484359	4.11174615614459	3.95452788239254	20.0725728144793	2.92176362358433	0.00348055582380687	-0.15440588045843	TRUE	0.96875	0.96875	200	1000	0.00377060214245744
MDD_FINNGEN_minus_QUEST	ASD	MDD	leave_one_auxiliary_out	7	50.8306699889655	38.4607609002132	12.3699090887523	4.09139588003532	4.3507731638831	20.3890450136216	3.02339579240265	0.00249955097496121	0.201952859857957	TRUE	0.96875	0.96875	200	1000	0.00309468215947579
