Annotation	annotation_key	annotation_basename	annotation_class	published_label	domain	PGC_enrichment	FinnGen_enrichment	delta_FinnGen_minus_PGC	SE	z	P_two_sided	alpha_492	Bonferroni_significant_492	Annotation_model_warning	Annotation_model_error	QC_warning_free	contrast_status	PGC_enrichment_from_enrich	FinnGen_enrichment_from_enrich	Bonferroni_significant_492_warning_free
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.377.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.377.	Roadmap.377.	chromatin	dLPFC H3K9ac	INT	5.35323291311538	-4.17797838767815	-9.53121130079353	4.58629603301121	-2.07819365173766	0.0376915265714123	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	5.35323291311538	-4.17797838767815	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.377.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.377.	Roadmap.377.	chromatin	dLPFC H3K9ac	SUD	3.53151686621924	-106.530330943061	-110.061847809281	87.9764676765038	-1.25103735937645	0.21092084750195	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	3.53151686621924	-106.530330943061	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.378.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.378.	Roadmap.378.	chromatin	Subtantia Nigra H3K9ac	COMP	4.63308641036692	0.988492561797078	-3.64459384856985	4.02483238192042	-0.905526864905329	0.365186334151313	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.63308641036692	0.988492561797078	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.378.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.378.	Roadmap.378.	chromatin	Subtantia Nigra H3K9ac	INT	4.07818301661459	4.1454783632186	0.0672953466040083	4.02255503637147	0.016729503013764	0.986652410450582	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.07818301661459	4.1454783632186	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.378.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.378.	Roadmap.378.	chromatin	Subtantia Nigra H3K9ac	SUD	3.18174697750302	-107.095040506387	-110.27678748389	87.1720979165973	-1.26504684548717	0.205854535556638	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	3.18174697750302	-107.095040506387	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.51.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.51.	Roadmap.51.	chromatin	Foreskin H3K27ac	COMP	3.4836538267555	1.33236073605721	-2.15129309069829	1.83815280819193	-1.17035595795454	0.241857751547848	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	3.4836538267555	1.33236073605721	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.51.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.51.	Roadmap.51.	chromatin	Foreskin H3K27ac	INT	2.89826773271747	2.77904833714453	-0.119219395572945	2.06971453763696	-0.0576018544610796	0.954065772481351	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	2.89826773271747	2.77904833714453	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.51.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.51.	Roadmap.51.	chromatin	Foreskin H3K27ac	SUD	2.24276205764674	-52.991908310939	-55.2346703685858	37.7852568026922	-1.46180481601624	0.143794704003195	0.000101626016260163	FALSE	TRUE	FALSE	FALSE	sandwich captured	2.24276205764674	-52.991908310939	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.60.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.60.	Roadmap.60.	chromatin	Angular Gyrus H3K27ac	COMP	4.62168791572848	1.2033143476776	-3.41837356805088	2.29521154266378	-1.48935011196553	0.136395198201246	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.62168791572848	1.2033143476776	FALSE
/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.60.	/public/home/zhengxiaoyang/MDD_SIN_analysis/13_ldsc_seg_official/reference/Multi_tissue_chromatin_1000Gv3_ldscores/Roadmap.60.	Roadmap.60.	chromatin	Angular Gyrus H3K27ac	INT	4.57622683629032	4.15660132319428	-0.419625513096042	2.70237832428004	-0.155280076562869	0.876600521695268	0.000101626016260163	FALSE	FALSE	FALSE	TRUE	sandwich captured	4.57622683629032	4.15660132319428	FALSE
