auxiliary	common_valid_blocks	pearson_r	pearson_p	spearman_rho	spearman_p	all_block_nonzero	all_block_sign_concordant	all_block_sign_concordance	informative_blocks	informative_sign_concordant	informative_sign_concordance	cosine_similarity	top5_n_each	top5_intersection	top5_overlap_fraction	top5_jaccard	top5_expected_random_intersection	top5_enrichment_over_random
ADHD	1698	0.30118366499319665	6.092624652254089e-37	0.26002885270231746	1.2175241052626276e-27	1698	995	0.5859835100117785	158	114	0.7215189873417721	0.2849043305712695	85	18	0.21176470588235294	0.11842105263157894	4.255005889281508	4.230311418685121
ASD	1665	0.319500619731788	7.971390686037117e-41	0.25350357138697477	7.90138746939491e-26	1665	982	0.5897897897897898	147	112	0.7619047619047619	0.3312277705849266	84	19	0.2261904761904762	0.12751677852348994	4.237837837837838	4.483418367346938
OCD	1667	0.27162339533298285	1.3925420440504498e-29	0.24452875322661466	4.044610398119802e-24	1667	986	0.5914817036592681	146	111	0.7602739726027398	0.29639545022669883	84	24	0.2857142857142857	0.16666666666666666	4.232753449310138	5.670068027210884
AN	1645	0.3322731703119602	1.0759088774762323e-43	0.28437446379343206	5.647073552898399e-32	1645	970	0.5896656534954408	154	120	0.7792207792207793	0.34268583954968995	83	19	0.2289156626506024	0.1292517006802721	4.187841945288754	4.536942952533024
AUD	1670	0.2736928771195407	4.453162892390528e-30	0.24309790887732396	6.878814961308673e-24	1670	972	0.5820359281437125	157	116	0.7388535031847133	0.2990357911502947	84	18	0.21428571428571427	0.12	4.225149700598802	4.260204081632653
CUD	1673	0.20544109621972734	2.11265655088185e-17	0.21404873088991264	8.648570427637323e-19	1673	964	0.576210400478183	137	96	0.7007299270072993	0.22911778467324245	84	14	0.16666666666666666	0.09090909090909091	4.2175732217573225	3.319444444444444
