label	disease	rg	rg_se	delta_pp	ci95_low_pp	ci95_high_pp
SCZ broad FinnGen - PGC	SCZ	0.8677	0.0372	3.45753558797114	-10.1713797683439	17.0864509442862
SCZ broad - narrow FinnGen	SCZ	0.8955	0.0481	30.7152144011619	18.2206148355485	43.2098139667753
