center	n_sim	n_valid_preselection	observed_finngen_phbc	observed_finngen_weight	null_mean_uncorrected	null_sd_uncorrected	null_mean_corrected_fixed_weight	null_sd_corrected_fixed_weight	p_precision_fixed_weight	q05_corrected_fixed_weight	q50_corrected_fixed_weight	q95_corrected_fixed_weight
PGC	10000	29169	0.223270628282196	0.8125	0.660096487284723	0.123341994115449	0.435766821684055	0.0814249883027769	2e-04	0.313599481558751	0.427749355219467	0.587610278446338
precision_weighted	10000	29386	0.223270628282196	0.8125	0.634615528687489	0.127831615588329	0.4189454076101	0.0843888399782329	0.001	0.295483940213496	0.411994850361621	0.576375283769209
