section	disease	comparison	left_target	right_target	rg	rg_se	z_rg_eq_1	p_rg_eq_1	status
psychiatric	MDD	MDD_CLIN_PGC2025__MDD_EHR_PGC2025	MDD_CLIN_PGC2025	MDD_EHR_PGC2025	0.8594	0.0455	-3.0901	0.00200082	reject_rg_eq_1
psychiatric	MDD	MDD_CLIN_PGC2025__MDD_QUEST_PGC2025	MDD_CLIN_PGC2025	MDD_QUEST_PGC2025	0.8663	0.0514	-2.6012	0.00929071	reject_rg_eq_1
psychiatric	MDD	MDD_CLIN_PGC2025__MDD_FINNGEN_R13	MDD_CLIN_PGC2025	MDD_FINNGEN_R13	0.8297	0.0445	-3.827	0.000129732	reject_rg_eq_1
psychiatric	MDD	MDD_EHR_PGC2025__MDD_QUEST_PGC2025	MDD_EHR_PGC2025	MDD_QUEST_PGC2025	0.8794	0.0219	-5.5068	3.65313e-08	reject_rg_eq_1
psychiatric	MDD	MDD_EHR_PGC2025__MDD_FINNGEN_R13	MDD_EHR_PGC2025	MDD_FINNGEN_R13	0.8575	0.0188	-7.5798	3.46122e-14	reject_rg_eq_1
psychiatric	MDD	MDD_QUEST_PGC2025__MDD_FINNGEN_R13	MDD_QUEST_PGC2025	MDD_FINNGEN_R13	0.7839	0.0287	-7.5296	5.08895e-14	reject_rg_eq_1
psychiatric	BD	BD_CLIN_PGC4__BD_FINNGEN_R13	BD_CLIN_PGC4	BD_FINNGEN_R13	0.8435	0.0563	-2.7798	0.00544005	reject_rg_eq_1
psychiatric	BD	BD_PGC2021__BD_FINNGEN_R13	BD_PGC2021	BD_FINNGEN_R13	0.8846	0.0531	-2.1733	0.0297609	reject_rg_eq_1
psychiatric	SCZ	SCZ_PGC2022__SCZ_FINNGEN_R13	SCZ_PGC2022	SCZ_FINNGEN_R13	0.9554	0.0673	-0.6627	0.50752	do_not_reject_rg_eq_1
neurological	AD	AD_GCST90704646_MAIN__AD_GCST90704647_NOPROXY	AD_GCST90704646_MAIN	AD_GCST90704647_NOPROXY	1.0019	0.0069	0.2754	0.783	PASS_HIGH_GENETIC_CORRELATION
neurological	AD	AD_GCST90704646_MAIN__AD_GCST90704648_NOBIOBANK	AD_GCST90704646_MAIN	AD_GCST90704648_NOBIOBANK	0.9731	0.0149	-1.8054	0.071	PASS_HIGH_GENETIC_CORRELATION
neurological	AD	AD_GCST90704647_NOPROXY__AD_GCST90704648_NOBIOBANK	AD_GCST90704647_NOPROXY	AD_GCST90704648_NOBIOBANK	0.9869	0.0102	-1.2843	0.199	PASS_HIGH_GENETIC_CORRELATION
neurological	Epilepsy	ILAE_vs_EHR_META_2OF3	EPILEPSY_ILAE2023_EUR	EPILEPSY_EHR_META_2OF3	0.7558	0.0725	-3.36827586206897	0.000756398715010686	PASS
neurological	Epilepsy	ILAE_vs_EHR_META_3OF3	EPILEPSY_ILAE2023_EUR	EPILEPSY_EHR_META_3OF3	0.7477	0.0756	-3.33730158730159	0.000845960987370181	PASS
neurological	Epilepsy	EPILEPSY_ILAE2023_EUR__EPILEPSY_FINNGEN_R13	EPILEPSY_ILAE2023_EUR	EPILEPSY_FINNGEN_R13	0.7454	0.0898	-2.83518930957684	0.00457985378597544	DIFFERENT_FROM_1
